index,snr_db,clean,noisy,seconds,clean_sha256,noisy_sha256
10,12.5,clean/lsm_0010_snr12.5.wav,noisy/lsm_0010_snr12.5.wav,7.86,234f107f134babc6c1b0fdd041187ea14dc8518cd6a1e237e7da31474b41e157,1c2a55a67df378254da7178de6d898b154b8cbd3582c402c3882021148a3fefc
11,17.5,clean/lsm_0011_snr17.5.wav,noisy/lsm_0011_snr17.5.wav,5.05,58eafc1ab81b72f06a19a63451bb021d854ce89d12122955b502758fea27c01f,d6fce7e5336bdbd915c70ad8a7f97384eeafabe4809403b3773a08535df9888c
12,2.5,clean/lsm_0012_snr2.5.wav,noisy/lsm_0012_snr2.5.wav,9.215,0c0461cbf8c77299a9443fba3260386fe9b5fd915c9feb165b831f00e0181d69,781ee2fee0d7dc809d6f2f7b0823830d1eb04e2d1cd5f2c3037026bdda8c1b42
13,7.5,clean/lsm_0013_snr7.5.wav,noisy/lsm_0013_snr7.5.wav,12.66,d1a2b092d2e8296534f3d6b57543735ee7247503c6b15b958c62eb107f21b4e3,7b70b797d45638a35c16e578880518ad2f357d2db4acd4e6b961e1937aa496fe
14,12.5,clean/lsm_0014_snr12.5.wav,noisy/lsm_0014_snr12.5.wav,8.98,22aa3e3eb1e67188a69d84a16b4bb4de6124996ae6e3f17aaf818a808ade06e3,d80eda247062b68f7f2da980fb0400bfa0ac1d3a0d6317fca610db99b217f0f3
15,17.5,clean/lsm_0015_snr17.5.wav,noisy/lsm_0015_snr17.5.wav,13.48,8f1455cbf2b5b2941ba48cbcadb384a5bf8da5f04ce9f92dab69bdd1907bbf45,382b4e902291f651212958c0a51b53eff51789233ae2db752fdd8356a3fb70ea
16,2.5,clean/lsm_0016_snr2.5.wav,noisy/lsm_0016_snr2.5.wav,4.11,e3394764268d78b94549127d9b1aafe24c2265418ebcaa4b3de41833651e3e79,9fa0a8005cc224127556ba868d74d3278323526ca6343db8a75fead53da260fb
17,7.5,clean/lsm_0017_snr7.5.wav,noisy/lsm_0017_snr7.5.wav,10.07,a634278b2bb780b68e61d37376d8ad0a4e69eb04ccdf271fb2c5770e8bf06090,7c823bc9c2ef9b158afd7cb1ad4fd782ebaa660631a407305805fdce319e48d9
18,12.5,clean/lsm_0018_snr12.5.wav,noisy/lsm_0018_snr12.5.wav,9.14,9bdae628680b054eb47745f2730615bf9bd285bc23a624dcff387cd5e9abb7db,d73029747d1a586fa023c46a0a0f67d6da5b19ee191d273108216df4b0d8c61f
19,17.5,clean/lsm_0019_snr17.5.wav,noisy/lsm_0019_snr17.5.wav,8.955,2b303566458a45efbdb80d5ac0ba335fbcfd46b7f69643cd3619eecd1d013a39,2445e4ab37bc52da53092499a632aca989e346f43a860d492f3c42907c098e61
20,2.5,clean/lsm_0020_snr2.5.wav,noisy/lsm_0020_snr2.5.wav,6.84,9e9059b4a7da59a3f8d942d877345edfbe1c3b19887573caf2de0293eed9d515,a3dfe46e9324e5fd4866464a2e757bcee8505b723ce73a02e16eb895ef62350d
21,7.5,clean/lsm_0021_snr7.5.wav,noisy/lsm_0021_snr7.5.wav,6.585,270658e5d6c59bc68c05d02fe1d91d07cc1d441f934f01a937d0087960c5300c,cd65eb982a0571cb497b8cbfada5a5cd28723ffe14f05dad141c05f51733288f
22,12.5,clean/lsm_0022_snr12.5.wav,noisy/lsm_0022_snr12.5.wav,3.735,d1f9caa75ba18c1629f3621717d71c4ed8de97c991b0ec673c2f6f081cf23685,40e4a79590f59cdaaf050057b18c317c4e1685d6aca3649b7fb30a39f84392c6
23,17.5,clean/lsm_0023_snr17.5.wav,noisy/lsm_0023_snr17.5.wav,4.12,7b90d597483daad47adbee80f9d4a2839a7e147f68f78aefb06cc102526115fe,bbdb4e4ba19a0ddb044a9e970404604088c3d7ee90707177dcac50238838ba3e
24,2.5,clean/lsm_0024_snr2.5.wav,noisy/lsm_0024_snr2.5.wav,13.005,ccff22b2c51424470cb673a12185a1ce91e4f146556ee0f1240f9f0395507296,b7e2169fcebe8b9f84e35b74bda7466d06d27756498c740be1e0a3a40f669c74
25,7.5,clean/lsm_0025_snr7.5.wav,noisy/lsm_0025_snr7.5.wav,16.085,e7d8e1fd584bd58b27a6b55257cdbe62e28c57d7f6a4a6beb06b5c1bcf039b05,90dcf8ca00f59a9f91bb64ed9d3b00444df35846d8503b6acb7f1a763867feb6
26,12.5,clean/lsm_0026_snr12.5.wav,noisy/lsm_0026_snr12.5.wav,6.495,32fd06e7b50c432b064f136c51c1f86b80cbc4d1bf1ba4ac769319335adcde16,6d3f2a10c915fe3ce8e30f77b5a2ac6bc1ec934397ee49e58324aeb041992fa7
27,17.5,clean/lsm_0027_snr17.5.wav,noisy/lsm_0027_snr17.5.wav,5.125,5dc77d43ef04b3fd9b78528ea18cd5ed76ef846e8484f5e4896989873da2a304,d33a394bd28e69459c3d7189364eafb623d7592b945fe558425253fb581137b6
28,2.5,clean/lsm_0028_snr2.5.wav,noisy/lsm_0028_snr2.5.wav,3.42,1208e4524f613c84536df130990148903a8abe45657793f0841f880803dd016d,1db4e670f11a06fd11a5831c5aad8697bc43fa7416b0a436f1fca9c9d12106f1
29,7.5,clean/lsm_0029_snr7.5.wav,noisy/lsm_0029_snr7.5.wav,5.715,1ce896e1ff25108bb8ddbb743e70fde8c09f17b07d1db59cf2426e87b05b4379,085365960ede36627a7a8969403ad0d43cbb5267818c585fbff37eccdf3a01fb
30,12.5,clean/lsm_0030_snr12.5.wav,noisy/lsm_0030_snr12.5.wav,20.25,a9ec70e440c168b0cedc46a59fd4328bb34636f625e69e155fcd36c87fd56d4d,295ae72b929cd3930a815669e143d6f2893cb3a037c6e3b27af14bcd7889b0b5
31,17.5,clean/lsm_0031_snr17.5.wav,noisy/lsm_0031_snr17.5.wav,3.155,ad581416e65e0160630748bc2659a27c3cd28405541615fd166e2ae218fb6844,383c7786a1d699081b2440e0f35856a1fc38ee8b2438ec90926c749e0e96c7e2
32,2.5,clean/lsm_0032_snr2.5.wav,noisy/lsm_0032_snr2.5.wav,3.17,2fa7ceddfa8b5d1a409aea587df3521c47eb2b64a57c8fc0ba26714962a8e2f0,30fc12ca80581108e7e2118299b300a0fc90984f43f3d19a9cd733a6ad3f346a
33,7.5,clean/lsm_0033_snr7.5.wav,noisy/lsm_0033_snr7.5.wav,14.595,59345239a9d509ec7247ad2d979396f4eb020acb1a29b9ecb32c3332f3489b98,f6c1bf9204f89f85a4c904518d9be02bb9b0ad1f17158437e322ed88a4e8f12e
34,12.5,clean/lsm_0034_snr12.5.wav,noisy/lsm_0034_snr12.5.wav,3.505,8901cfbfff056a8c062a28c71c8eac83243251202ddfdb556b33056d5c31c2ac,e230c46ad71a80f63a25e7f0664acadcd54ac7c8ba038bcaf5dc64317ceca0bb
35,17.5,clean/lsm_0035_snr17.5.wav,noisy/lsm_0035_snr17.5.wav,5.565,c5692bf0dd9bc78c6ea27dd7fcbf58809cc29aeafc2d69704da5a02320e157b9,a7439f089a436d7c9090f2f13065cef093365132a59cf91da52c6db95a949981
36,2.5,clean/lsm_0036_snr2.5.wav,noisy/lsm_0036_snr2.5.wav,4.0,a2d080d4cfc09dfcdf0ce82a244b1a78f4a1999e4552c9e2fa89b6a61af1f8bb,b7a8221f55e0e2fd52c53f9ed4ba28870f5e4a8ce3deac06a131fae32443cb53
37,7.5,clean/lsm_0037_snr7.5.wav,noisy/lsm_0037_snr7.5.wav,16.065,ce8ec60a49c99c29b1b8426b7839f6ce5d539fc35b34955d8d3f3e300f59f1b6,0b628190c2183fc9f27b14e05ad4bcf7413a6c8259992dfc039f346d47ee2c72
38,12.5,clean/lsm_0038_snr12.5.wav,noisy/lsm_0038_snr12.5.wav,13.96,e2133173a466ceb29be698240e67928b4dccc09971ea9291a394a25312746bbb,be522cfd1eda0e56c84c7003cda6234195456895601517713405e34fa7c5dfc0
39,17.5,clean/lsm_0039_snr17.5.wav,noisy/lsm_0039_snr17.5.wav,3.09,0776d9e199cee1db52d27753930e451111174c5367a70e6543f3d111db9895eb,20b9edf15026374669cf28d2a5b362ba658bc07724ed590afe1736b3cc9277a6
40,2.5,clean/lsm_0040_snr2.5.wav,noisy/lsm_0040_snr2.5.wav,16.125,fe3ef0e4c1d66dbcd193d3ccebd5330c5ee70d52f84e79f96a5077ca350876d6,252066e5c7d4f1d7f7a0e66871cd10d668041198668b5520c9eec3a79b7a7fcc
41,7.5,clean/lsm_0041_snr7.5.wav,noisy/lsm_0041_snr7.5.wav,19.805,148f7303b43862f7c1de3989055042d7feab3ae73c8040503338777f3ad9f454,c370dc85724cf76cc08b5801adcf385855edc717de8612e79eb012ec3f0f9c3e
42,12.5,clean/lsm_0042_snr12.5.wav,noisy/lsm_0042_snr12.5.wav,7.36,12080d241ff41906cd18d58fb4e57ca5276a3428e65039a4d0326a4bcdd0a09c,aefeee58ae16bf3062333b418711de6c2bd4757fe376dc823d9093b79cae8c37
43,17.5,clean/lsm_0043_snr17.5.wav,noisy/lsm_0043_snr17.5.wav,8.515,fb978bd5d581488f8771659753cde110ecbab10073439fad835ada63a5e3771a,17f52ce1cfd8dd45ebd1c3bd7b803c37ab1bf1779920723b9c0490006821fdeb
44,2.5,clean/lsm_0044_snr2.5.wav,noisy/lsm_0044_snr2.5.wav,5.385,2b79a1a2320677c469cd6b522862cd65b8b97b4a6cef0d7e035c85680194d122,3908b0fec1e3238e3c72d9b3f2faea4eedf72980886cbb3c2dd580ca73c1004d
45,7.5,clean/lsm_0045_snr7.5.wav,noisy/lsm_0045_snr7.5.wav,4.755,f0d6588290b0212c009a95e98b237198b0696bbc8708557846f05079291c6cdf,7f5c541531584c0939eca9c933c8d40ac996af3bd191da010a9e66a19ab95719
46,12.5,clean/lsm_0046_snr12.5.wav,noisy/lsm_0046_snr12.5.wav,3.565,3645021d26b85c14262b1208860d5a8b81a339493b1e9ce3cd773d7213c2e306,2dbb69c6d54697477d92080965f3f287ed286867b88a30f1a6ca1afefba5c490
47,17.5,clean/lsm_0047_snr17.5.wav,noisy/lsm_0047_snr17.5.wav,3.265,b9e6e6a0f716884b0ab6c8fb555df7f6033b995fda603e1d8eb206594773c9d7,57443cdacf87dd93329b0a702eddd1496dbeafe32ef420e476d38ef86ba07f84
48,2.5,clean/lsm_0048_snr2.5.wav,noisy/lsm_0048_snr2.5.wav,11.92,4224b1bfd3b590de21ce2c04210d0faa88fdf81a792674cb1d7c1acd1413c834,1be268c7aabfccd490cee010bf0d430385e087b6fdae8170c14baef94f06e60f
49,7.5,clean/lsm_0049_snr7.5.wav,noisy/lsm_0049_snr7.5.wav,3.38,12022bbd5c482039404299bc4041f8e8c20c0fdc1389e5275f159a7ee143db5d,0e22a1112f6e1eb490a1e90fb1545ef9c66e9c73d7b631ff31044b7134549982
50,12.5,clean/lsm_0050_snr12.5.wav,noisy/lsm_0050_snr12.5.wav,6.35,3f73174bead6c4b93a9c39a366673365aa2e81112c84214a4e9f5076d2371b5d,77675ccce6d26d5d42ac78b616bf9e3cd71171a47d12837e8067321fde33eb61
51,17.5,clean/lsm_0051_snr17.5.wav,noisy/lsm_0051_snr17.5.wav,10.69,b2fda65142f4c78cfb27adbdbf1c838248eb27bc06c7e1ffd7dc85bb7eb74771,70798bdcaa5f5d1791d26a9d61c9e2594771de9d696a89c497ee8a9528c815e7
52,2.5,clean/lsm_0052_snr2.5.wav,noisy/lsm_0052_snr2.5.wav,8.23,42c1a4435a35388c3b841f350d7acd05ac4d258c87d8648056993db09045d915,00af336568f8590d8d0771c813b3d8756a8d802cabd07ca04a8e0ea85d5f12d2
53,7.5,clean/lsm_0053_snr7.5.wav,noisy/lsm_0053_snr7.5.wav,17.605,0c12260c74d8938704c740a909f718fd91a32ce4f11431cdb63163dc31169b65,630b82bb72202bec88438608b632c378c329bcb2b0083325d088dad2f938d8f4
54,12.5,clean/lsm_0054_snr12.5.wav,noisy/lsm_0054_snr12.5.wav,5.48,17c9101120d4f9bdbd6560cc8d10a2c9d8137263c89909719de0e97874660d9e,ae1f53c32d5adb2ba486a522bdce87316dcc91399a218a25003cd3b9055ad8c5
55,17.5,clean/lsm_0055_snr17.5.wav,noisy/lsm_0055_snr17.5.wav,4.06,7e886f77ab3bf3272030fa3df86e2fb8aad27fb5e40622eb0b675c12d6fc1890,b88f3c55305a668028ce5d2af7a2a3d0f7f5e706cbb5c7fdbe1c8d3f7c6e6509
56,2.5,clean/lsm_0056_snr2.5.wav,noisy/lsm_0056_snr2.5.wav,4.755,3f6b5d232a52ce96d9ff0e86c3f76fcac85507d6a5d0fdff8255b542f70992eb,0832245c41c842564a454d0d90205ca019cd983ea9bc2f6df20a050c3d229584
57,7.5,clean/lsm_0057_snr7.5.wav,noisy/lsm_0057_snr7.5.wav,17.39,da4567d436f82f5d8f2c6117e405af4e6c0f71b74af3f00f671400e7776818a0,92e7bb858754e641cd3044772968df1b5e2dfbf5acc9e925c8392c4b65999952
58,12.5,clean/lsm_0058_snr12.5.wav,noisy/lsm_0058_snr12.5.wav,5.685,6048875e595a68c17f4d79b2c36bfff5e60066aaad246b19a18d6d6101acfad3,d3f75fe354b072ea4d6fa22983f8943b07231b171dc97f7123202b758408ea92
59,17.5,clean/lsm_0059_snr17.5.wav,noisy/lsm_0059_snr17.5.wav,17.485,b7ddabf419699d5f58d6476517483e4d7bb8ed0bac3c25af9ee6448ea9fa360b,ba59030ae4023e9c5dd51b2f3b4a8e932d4b98402ad85bc25dd25a36f2d226b8
60,2.5,clean/lsm_0060_snr2.5.wav,noisy/lsm_0060_snr2.5.wav,12.87,80a228fab246de000ddf6d9ebddbba84d745487c0a49b749a0daf58dfa736e28,c58e4f1fed55940cdb99534db528d5c70398b5fd96a68ab0b7f809dc2282fd85
61,7.5,clean/lsm_0061_snr7.5.wav,noisy/lsm_0061_snr7.5.wav,4.55,2b115cbc4b758c886d59852a0110afe3415f9a4e13d53433ac424405bc1be2eb,0bdcc0ac9ef868deb9d35ceee6e6c897749d06bc9d2aa11e6ec13134decd74fa
62,12.5,clean/lsm_0062_snr12.5.wav,noisy/lsm_0062_snr12.5.wav,10.81,b2b90c9c9f7c688545ef9390a6e42d724d3ef46749da9a3566fa9578deee35ba,4745bea69e70c2fc203d550ec9f14215ad3347c355014c5d80dcae689b3c2015
63,17.5,clean/lsm_0063_snr17.5.wav,noisy/lsm_0063_snr17.5.wav,9.855,7012971dbc28f6a61ae0982aabfd1bab43c654fdf8c50f32c99088cd25560190,8713fdab564620c7c0da95e957e0944ab8050d198a075834cd7513fd84f45838
64,2.5,clean/lsm_0064_snr2.5.wav,noisy/lsm_0064_snr2.5.wav,14.15,df29727137ec1702aaae86b486ecfdfa5fa03441d0cb230f9ded2d8a511d8614,e338551d754c5eb8d6e3eecb26c789d2d71561147b11d1718a31893ad63eb277
65,7.5,clean/lsm_0065_snr7.5.wav,noisy/lsm_0065_snr7.5.wav,13.665,75091b7282389c8b9557dd9658e46a1bbb00fcde4e7b2499a89ac5ed9bf4e323,bea6c3daef7a2867021feb25bc47f2d015febcff60f75cef2b57c081a64c08f9
66,12.5,clean/lsm_0066_snr12.5.wav,noisy/lsm_0066_snr12.5.wav,11.16,0dfdfae668ad02960d9d8df6d99a1d172e0dc2f7e80aa601d67269f30f11504e,a4542ff86600808cc3651846e01888863fca3ac10ff2a7e0e174aeda65130e36
67,17.5,clean/lsm_0067_snr17.5.wav,noisy/lsm_0067_snr17.5.wav,5.17,90fd69b14648f6f3176e14b564ce439bbe366649bae4831ca88fcb96c08e8242,7cfc18b417487c34d499d93ea88ca60e292b3d689ff0e9a0809892b69448bad8
68,2.5,clean/lsm_0068_snr2.5.wav,noisy/lsm_0068_snr2.5.wav,8.23,b32d2f28c39ad5e98d4b1ed30b4d06e1a03de5ee0e08f61bbe988868a123d173,7afbd8e80ab2c5ab771690dbe257a46a9a489fed6e58e4908beafb5c45a19d61
69,7.5,clean/lsm_0069_snr7.5.wav,noisy/lsm_0069_snr7.5.wav,9.875,5708af271397a2f0c42f5c58dd6dbb142e505050a48f12a58cbefa8c4513a4f8,c63977f6144b3f510af5e8241620cca35791b86eaf6c7d6897b0bea138f8c6b4
70,12.5,clean/lsm_0070_snr12.5.wav,noisy/lsm_0070_snr12.5.wav,5.91,67db5f4653c2b7286a2ed652400314ec3878bbbce85d1ff21b78a74411cfa6b1,65b225b922ea8589feebd692d5928e9b989d953544caa7032424773a806674bf
71,17.5,clean/lsm_0071_snr17.5.wav,noisy/lsm_0071_snr17.5.wav,16.04,5049722d51d90ef935ce52b4b7b9aea07ecda688f421745b1db4a63ea061840c,10273b1338ff5a19bfba6643b9f6c179a2c6e8ec1568f0b415493f1dafd53e7b
72,2.5,clean/lsm_0072_snr2.5.wav,noisy/lsm_0072_snr2.5.wav,15.05,96c60b0943ad92d95cf18a4f1f201b5dea76e8d738c79e24477c471a4d96ecd7,c733aff7085b321a916d23bb69cbcf97bc4719c5dc3b59adc2a1db7d978cd218
73,7.5,clean/lsm_0073_snr7.5.wav,noisy/lsm_0073_snr7.5.wav,6.45,7196ffc72a9c5984a93cd64a1244c5894be673001cc4b45ab86dc00419403364,9e5247ab0f8d4428c5a665be30794c5252f1d34cab91055f70a411c58a1e5288
74,12.5,clean/lsm_0074_snr12.5.wav,noisy/lsm_0074_snr12.5.wav,4.095,c9cf8e8941af3218b28ad9e7589377740a5e7acef30eb3bda2606c08f943b507,4d3a89d27a5b86a345c975ca314fb640ffd46c2647452a92cc1b85d6c54b8e50
75,17.5,clean/lsm_0075_snr17.5.wav,noisy/lsm_0075_snr17.5.wav,4.285,27ac2338d0ade978859fa29b0997a955e9b08eab63656be69838c61ee15b5cfa,9836cd7cbfc0220d0ae4887fd9fa47173d8c59d4ff64656e8e25ad55d7138cb2
76,2.5,clean/lsm_0076_snr2.5.wav,noisy/lsm_0076_snr2.5.wav,10.03,a6a9c14ebc0362a0bfbcf57e44e7f011efca76683cb01449388199ebf995dacb,113a631010bf863b443b2b89eb21af046822a44c5d04703a45ae58b1f6daa0c6
77,7.5,clean/lsm_0077_snr7.5.wav,noisy/lsm_0077_snr7.5.wav,3.43,bc2b27eaea35ee0a65b0814445da1de455d7d4d6cfebb7f121e3b367d7982edc,55a17897552b678077ee45aaa3d0e09489a23f0763f00776f11631c644947054
78,12.5,clean/lsm_0078_snr12.5.wav,noisy/lsm_0078_snr12.5.wav,3.93,7adcdbc980d84b9e6b2443eaf9fe6a69c0dc4165bb09c3f6a9ab1b09f069a29f,789c5dea59e503abe9c154f2ce8cc300de1d8830b04deaa897c1663663a2320a
79,17.5,clean/lsm_0079_snr17.5.wav,noisy/lsm_0079_snr17.5.wav,13.475,a226fa9ebaa2472aa7aa3775ffd2f01bb5201016b4edfcee7468251d96a16e07,93186f4d4eacae772979b7c113969abebd9cdffc7463ec08e526d6596661a0c5
80,2.5,clean/lsm_0080_snr2.5.wav,noisy/lsm_0080_snr2.5.wav,12.13,7c8047472c2aa4e57251f4cbdafb2b492bdcc4904460c93c523dc5ae2e694133,7de52e0cef644e9e5548bc80fe28f7d4c2eb1cd0e87f386b981c4a2eab017e0b
81,7.5,clean/lsm_0081_snr7.5.wav,noisy/lsm_0081_snr7.5.wav,8.915,d7e93f95ad7682fd739edd5f87ced26438307742294e59281b0eb0c590472be1,a08446e423150af5a1591e392351471a290df946b284f41016156b0b77fa1a8d
82,12.5,clean/lsm_0082_snr12.5.wav,noisy/lsm_0082_snr12.5.wav,5.56,f90e2dcc1a49b2177fbe1381ced13201ecc2b0f5dbd86efc21cf5a172c0f81d6,c95d2aaa9cad54f5df5f66d0c723d59f5f6f734d4ace6b5ddcd0a1d3e90664e3
83,17.5,clean/lsm_0083_snr17.5.wav,noisy/lsm_0083_snr17.5.wav,6.15,3b230b57ad74e1c9e60d3a549b906c1d98809734c3a8e3e6858fb2870f422802,0400ff3230c4ee6a1f0e65076fd8f2e3c45f5217834addf2a5b6bf155d31eacd
84,2.5,clean/lsm_0084_snr2.5.wav,noisy/lsm_0084_snr2.5.wav,9.04,9af6e3b4e7d37277a0fda918f9da001a4a5d46a6ec22c6df9c297ebf0ef376b2,903eacf421b5bab43e630cf62024c8573326b323cc8e3f5618f5cce845e0a7e5
85,7.5,clean/lsm_0085_snr7.5.wav,noisy/lsm_0085_snr7.5.wav,10.175,a234b2f05c9a94244f9e9d538da1ffcfd3a6b103601e24c2115ab3da3d72848e,b0d2636bc69f57b15072b516b0f2ed75ebf823a0db08b16960f61054cf1ce774
86,12.5,clean/lsm_0086_snr12.5.wav,noisy/lsm_0086_snr12.5.wav,13.72,4c6b7d55eef72c98e7e5408ed4b3f72598156dc4d928c310898ca0e85e39e41d,06d00719a1f67d6bb33357d7f69f06a498c0c272f5c5aba08f9c15d2503bad9d
87,17.5,clean/lsm_0087_snr17.5.wav,noisy/lsm_0087_snr17.5.wav,8.775,e4025eafe0ffbbb142579933dca36731998cf79eb8a8d0fdb9ddc04acdb77e25,d066793bb12fd2bf7fb781b299df9ecae8e70816022917e79109c8688d3acf67
88,2.5,clean/lsm_0088_snr2.5.wav,noisy/lsm_0088_snr2.5.wav,6.38,174fc19452413e326b0d6eca2ad5f659eadef0f4ddb325884687dd64beb970c7,d3eeee579cbb6fbd29dbf40c2d200a2c7d04d06232f6562e605c45b7c6a68b8d
89,7.5,clean/lsm_0089_snr7.5.wav,noisy/lsm_0089_snr7.5.wav,11.545,991277ec9869e30a108c15ed29ce9f0b03701ab6dccf1f8fcae2ed6e6df54362,accc412c349fdc2caae1e2402793f18cae1f01ac76a67d951d9ce6b65542df65
90,12.5,clean/lsm_0090_snr12.5.wav,noisy/lsm_0090_snr12.5.wav,5.78,550988d5e145c82959a28296c140cb4e58fe0c0fdb29e07a63b51f4b1275a1cf,1a2f048b4a7b754fa95853b4270a88bdd6c9b84db719376fd10fa058a623ca77
91,17.5,clean/lsm_0091_snr17.5.wav,noisy/lsm_0091_snr17.5.wav,10.56,7aeab7c2adb72a4247843f84d893a3362d98245b5e8c3defde449ef3542562c3,e91d49c1c144e5795787ff2bcd31dd57e07d57d1b4e0e9ce7ab5492881915b1a
92,2.5,clean/lsm_0092_snr2.5.wav,noisy/lsm_0092_snr2.5.wav,6.905,c4f5a188d74aae92439102584ac91f022b2ad9352a5e6c365cde47423ae4169d,36527a43abb118ad006ca20990fbe0925af15671c6d1bbf6b67a448007b827df
93,7.5,clean/lsm_0093_snr7.5.wav,noisy/lsm_0093_snr7.5.wav,12.15,7f46e3cd4581c3c580ae31c17e52ad9c14cf6a40c595466ec813a70fd840f98e,714d3c8916a15a0fff27a70871b3772b08c9a18d7a076c982e6547650533f188
94,12.5,clean/lsm_0094_snr12.5.wav,noisy/lsm_0094_snr12.5.wav,6.36,f694358e46ada4a84189e5b9106330126e700452e3e7839eaa2be32371df6b56,afa9603ccd00355d8958762dcb626b0a7ec9afd42d51fba9c81dce84e5cea737
95,17.5,clean/lsm_0095_snr17.5.wav,noisy/lsm_0095_snr17.5.wav,5.06,d32a966cb9aeb13f4c33da901a05b4fb07cc76434e42246c3800f98766804851,8baed7bf537ce1092ebe042320032cfbe7854da0a05611055ee0b9a331a05f59
96,2.5,clean/lsm_0096_snr2.5.wav,noisy/lsm_0096_snr2.5.wav,8.075,7ab461594bb6c2a2e0753fb64ee18c620215264e1024342e5faf495fd07d319e,1b9106dce1f82366f946a7db36f322f9e80ffc772e6a1fdaedb0594f2b058cec
97,7.5,clean/lsm_0097_snr7.5.wav,noisy/lsm_0097_snr7.5.wav,4.59,72715bf382274dac3b1b1a4088c266523c9194394529addd1065e0999c1a4bbf,7a38d9340b374f1ec011a093a669cb83e90752cabe85e32781d4459d626c865a
98,12.5,clean/lsm_0098_snr12.5.wav,noisy/lsm_0098_snr12.5.wav,5.865,2807ec57c18bd3deb0f838990f60643508f37c5138be1c7b9da4a9721b859668,0b1d85e1eeea2376580188fe6752e09db20edadfa3f502809cd024ba9511c53b
99,17.5,clean/lsm_0099_snr17.5.wav,noisy/lsm_0099_snr17.5.wav,3.74,1d5963ff62732cf661dc67118ca5f058b1df7b0394196228941d5f8fd66860f1,a3bacaae8f1daac820fb8e80652608e420ad2fa09522f19e6e1ff758eec2c7d5
100,2.5,clean/lsm_0100_snr2.5.wav,noisy/lsm_0100_snr2.5.wav,7.755,7d6d027a1d7f75e8704ee7d3ffc9a7c18f37d4c26049f00794d042551c7fa2e0,a6bdb79340bfad97744b2f3a39286e870b362289cba9238c06936d0688b76e2e
101,7.5,clean/lsm_0101_snr7.5.wav,noisy/lsm_0101_snr7.5.wav,3.045,39c00344a3740b493174aa36a9700b305b1886ea19c5bc953548a80e26606c0e,6a41b0c93baa78ae485c7bab24abfb4db7629ddb8eef2792ba45e7b28075e1b1
102,12.5,clean/lsm_0102_snr12.5.wav,noisy/lsm_0102_snr12.5.wav,11.135,b720ca31458e6a0f9bbe8512c3554a5a20e98b460863bc28f64eb0ba27d98a59,a12cc5f5479968ca0b1198461055db985610c880cd64409c9ef1b541bb8268d8
